date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:51:36	276/276	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2013%20Dec%202024%2014:51:35%20GMT	https://my.sdu.edu.kz/robots.txt		(from )
08:51:36	3351/3351	---M-Z	200	added ('OK')	text/html	date:Fri,%2013%20Dec%202024%2014:51:36%20GMT	https://my.sdu.edu.kz/	/home/ali_hack/websites/sdu/my.sdu.edu.kz/index.html	(from )
08:51:36	949/949	---M-Z	200	added ('OK')	text/css	etag:%223b5-5743b47fd9276-gzip%22	https://my.sdu.edu.kz/css/loginAuth.css	/home/ali_hack/websites/sdu/my.sdu.edu.kz/css/loginAuth.css	(from https://my.sdu.edu.kz/)
08:51:37	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2247e-5b94009804500%22	https://my.sdu.edu.kz/images/icons/favicon.ico	/home/ali_hack/websites/sdu/my.sdu.edu.kz/images/icons/favicon.ico	(from https://my.sdu.edu.kz/)
08:51:38	616/616	---M--	200	added ('OK')	image/png	etag:%22268-5743b47fda216%22	https://my.sdu.edu.kz/images/kz.png	/home/ali_hack/websites/sdu/my.sdu.edu.kz/images/kz.png	(from https://my.sdu.edu.kz/)
08:51:39	599/599	---M--	200	added ('OK')	image/png	etag:%22257-5743b47fda216%22	https://my.sdu.edu.kz/images/gb.png	/home/ali_hack/websites/sdu/my.sdu.edu.kz/images/gb.png	(from https://my.sdu.edu.kz/)
08:51:40	3357/3357	---M-Z	200	added ('OK')	text/html	date:Fri,%2013%20Dec%202024%2014:51:39%20GMT	https://my.sdu.edu.kz/?lng=kz	/home/ali_hack/websites/sdu/my.sdu.edu.kz/indexfa51.html	(from https://my.sdu.edu.kz/)
08:51:40	3357/3357	---M-Z	200	added ('OK')	text/html	date:Fri,%2013%20Dec%202024%2014:51:41%20GMT	https://my.sdu.edu.kz/?lng=en	/home/ali_hack/websites/sdu/my.sdu.edu.kz/index6dc5.html	(from https://my.sdu.edu.kz/)
08:51:42	14072/14072	---M--	200	added ('OK')	image/png	etag:%2236f8-60e90b7a1bb6b%22	https://my.sdu.edu.kz/images/login-logo-ps.png	/home/ali_hack/websites/sdu/my.sdu.edu.kz/images/login-logo-ps.png	(from https://my.sdu.edu.kz/)
08:51:42	322/322	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2013%20Dec%202024%2014:51:42%20GMT	https://my.sdu.edu.kz/passwForgot	/home/ali_hack/websites/sdu/my.sdu.edu.kz/passwForgot	(from https://my.sdu.edu.kz/)
08:51:43	461/461	---M--	200	added ('OK')	image/jpeg	etag:%221cd-5743b47fda216%22	https://my.sdu.edu.kz/images/gmail.jpg	/home/ali_hack/websites/sdu/my.sdu.edu.kz/images/gmail.jpg	(from https://my.sdu.edu.kz/)
08:51:45	1586/1586	---M-Z	200	added ('OK')	text/html	date:Fri,%2013%20Dec%202024%2014:51:44%20GMT	https://my.sdu.edu.kz/passwForgot/	/home/ali_hack/websites/sdu/my.sdu.edu.kz/passwForgot/index.html	(from https://my.sdu.edu.kz/)
08:51:45	394/394	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Fri,%2013%20Dec%202024%2014:51:45%20GMT	https://my.sdu.edu.kz/images/login-logo-ps.png	/home/ali_hack/websites/sdu/my.sdu.edu.kz/images/login-logo-ps.png	(from https://my.sdu.edu.kz/)
08:51:45	276/276	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2013%20Dec%202024%2014:51:45%20GMT	https://my.sdu.edu.kz/css/images/top-back.gif	/home/ali_hack/websites/sdu/my.sdu.edu.kz/css/images/top-back.gif	(from https://my.sdu.edu.kz/css/loginAuth.css)
08:51:46	1586/1586	---M--	200	added ('OK')	text/html	date:Fri,%2013%20Dec%202024%2014:51:46%20GMT	https://my.sdu.edu.kz/passwForgot/	/home/ali_hack/websites/sdu/my.sdu.edu.kz/passwForgot/index.html	(from https://my.sdu.edu.kz/)
